Player,Pos,Age,Tm,G,STL%,BLK%,DWS,DBPM,VORP,STL,BLK
A.J. Green,SG,23,MIL,24,1.1,0,0.2,-0.6,0.1,5,0
A.J. Lawson,SG,22,TOT,10,0,0,0,-2.5,0,0,0
A.J. Lawson,SG,22,MIN,1,0,0,0,7.6,0,0,0
A.J. Lawson,SG,22,DAL,9,0,0,0,-3.3,0,0,0
Aaron Gordon,PF,27,DEN,46,1.2,2.3,1.4,-0.5,1.5,35,35
Aaron Holiday,PG,26,ATL,47,1.8,1.2,0.6,0.9,0,27,10
Aaron Nesmith,SF,23,IND,46,1.6,1.6,0.9,-0.2,-0.2,37,20
Aaron Wiggins,SG,24,OKC,40,1.2,0.7,0.7,-0.6,0,19,6
Admiral Schofield,PF,25,ORL,27,0.8,0.8,0.2,-0.5,0,6,3
AJ Griffin,SF,19,ATL,48,1.8,0.5,0.8,0.1,0.6,38,6
Al Horford,C,36,BOS,41,0.8,2.7,1.6,1.4,1.4,22,40
Alec Burks,SG,31,DET,39,1.6,0.5,0.3,-0.7,0.9,29,5
Aleksej Pokusevski,PF,21,OKC,31,1.4,5.5,1,1.1,0.4,20,41
Alex Caruso,PG,28,CHI,45,3.4,2.7,1.7,3.6,1,77,31
Alex Len,C,29,SAC,12,0,0,0,-0.6,0,0,0
Alize Johnson,PF,26,SAS,4,1.6,0,0,-2,-0.1,1,0
Alondes Williams,SG,23,BRK,1,0,0,0,-5.3,0,0,0
Alperen Şengün,C,20,HOU,46,1.4,3.7,1.3,0.6,1.5,38,49
Amir Coffey,SG,25,LAC,38,0.6,0.5,0.3,-0.3,-0.4,7,3
Andre Drummond,C,29,CHI,38,2.2,2.1,1,-0.3,0.2,22,11
Andre Iguodala,SF,39,GSW,3,1.1,2.1,0,0.6,0,1,1
Andrew Nembhard,SG,23,IND,46,1.7,0.6,0.8,-0.1,-0.3,46,9
Andrew Wiggins,SF,27,GSW,32,1.8,2.3,1.1,-0.3,0.5,40,27
Anfernee Simons,SG,23,POR,49,0.9,0.6,0.8,-2.1,0.6,33,12
Anthony Davis,C,29,LAL,29,1.8,5.2,1.7,2,2.4,37,59
Anthony Edwards,SG,21,MIN,54,2.2,1.5,2.6,0.1,1.7,92,33
Anthony Gill,PF,30,WAS,36,0.7,1.2,0.2,-0.4,0,5,5
Anthony Lamb,SF,25,GSW,42,1.3,1.2,0.8,0.4,0.3,22,11
Austin Reaves,SG,24,LAL,36,0.9,1.1,0.7,-0.2,0.1,20,14
Austin Rivers,SG,30,MIN,42,1.4,0.3,0.7,0.5,-0.1,26,3
Ayo Dosunmu,SG,23,CHI,49,1.2,1.2,1.2,0.1,-0.1,35,17
Bam Adebayo,C,25,MIA,48,1.6,2.4,2.8,0.9,1.7,56,39
Ben Simmons,PG,26,BRK,37,2.6,1.8,1.6,2.6,0.7,53,21
Bennedict Mathurin,SF,20,IND,53,1,0.3,0.7,-2.4,-0.4,31,5
Bismack Biyombo,C,30,PHO,43,1,8.2,1.1,2.6,0,13,57
Blake Griffin,C,33,BOS,21,1.1,0.9,0.4,0.9,0.1,6,3
Blake Wesley,SG,19,SAS,8,0.6,1.1,0,-3.3,-0.2,1,1
Boban Marjanović,C,34,HOU,16,0.7,1.5,0.1,-0.6,0.1,1,1
Bobby Portis,PF,27,MIL,47,0.8,0.7,2,-0.4,1,22,11
Bogdan Bogdanović,SG,30,ATL,27,1.3,0.7,0.6,-1,0.3,22,7
Bojan Bogdanović,PF,33,DET,49,0.9,0.3,0.2,-1.9,1.2,30,5
Bol Bol,PF,23,ORL,47,0.9,5.9,1.5,0.7,0.5,22,69
Bones Hyland,PG,22,DEN,42,1.7,1.4,0.7,-1.5,0.3,28,13
Bradley Beal,SG,29,WAS,30,1.2,1.6,0.8,-1,1.1,25,19
Brandon Boston Jr.,SG,21,LAC,19,1.8,0,0.2,-0.5,0,8,0
Brandon Clarke,PF,26,MEM,46,1.5,3.3,1.5,1.7,1.1,29,33
Brandon Ingram,SF,25,NOP,19,1.3,1.9,0.7,-0.2,0.4,16,12
Braxton Key,SF,25,DET,3,0,0,0,0.5,0,0,0
Brook Lopez,C,34,MIL,51,0.8,6.8,2.5,1.4,1.3,25,126
Bruce Brown,SG,26,DEN,51,1.8,2.2,1.6,0.5,0.7,54,35
Bruno Fernando,C,24,HOU,27,0.9,8.2,0.4,1.7,0.1,6,26
Bryce McGowens,SG,20,CHO,22,0.6,1.2,0.1,-1.9,-0.3,4,4
Bryn Forbes,SG,29,MIN,22,1.4,0.4,0.1,-1.3,-0.3,7,1
Buddy Boeheim,PG,23,DET,1,0,0,0,-2,0,0,0
Buddy Hield,SF,30,IND,53,1.7,0.9,1.3,-0.5,1.5,61,17
Cade Cunningham,PG,21,DET,12,1.2,1.5,0.2,-0.8,0.1,10,7
Caleb Houstan,SF,20,ORL,30,0.5,0.6,0.2,-1.1,-0.2,5,3
Caleb Martin,PF,27,MIA,43,1.6,1.3,1.7,0.6,0.2,43,16
Cam Reddish,SF,23,NYK,20,1.7,1.7,0.4,-0.1,0,15,8
Cam Thomas,SG,21,BRK,34,1.3,0.7,0.4,-1.3,-0.2,13,4
Cameron Johnson,PF,26,PHO,15,1.6,1.4,0.4,0.3,0.5,12,6
Cameron Payne,PG,28,PHO,28,1.8,0.7,0.6,-1,0.1,25,5
Caris LeVert,SG,28,CLE,49,1.3,0.7,1.9,0.1,0.1,38,12
Carlik Jones,PG,25,CHI,1,0,0,0,4.9,0,0,0
Cedi Osman,SF,27,CLE,52,1.2,0.5,1.3,0.4,0.4,27,6
Charles Bassey,C,22,SAS,24,1.2,5.6,0.3,1.2,0.1,8,22
Chima Moneke,SF,27,SAC,2,0,0,0,-7.9,0,0,0
Chimezie Metu,C,25,SAC,37,1.3,1.5,0.5,0.1,0.1,11,7
Chris Boucher,PF,30,TOR,47,1.6,3.5,1,-1,0.5,32,34
Chris Duarte,SF,25,IND,32,1.1,1.2,0.4,-1.4,-0.3,14,8
Chris Paul,PG,37,PHO,32,2.1,1.1,1.2,1.1,1.4,43,13
Christian Braun,SG,21,DEN,47,1.2,1.4,0.5,-0.4,-0.2,16,10
Christian Koloko,C,22,TOR,43,0.9,7,0.6,0,-0.4,11,45
Christian Wood,C,27,DAL,42,0.8,4,1.6,-0.2,1.1,20,53
Chuma Okeke,SF,24,ORL,18,1.4,2.2,0.4,0.8,0.1,11,9
CJ McCollum,SG,31,NOP,47,1.3,1.7,1.7,-0.8,1.3,46,29
Clint Capela,C,28,ATL,36,1.3,4,1.5,-0.2,1,26,45
