Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Phoenix Suns,11,2665,406,912,0.445,120,333,0.36,286,579,0.494,220,281,0.783,115,348,463,242,73,44,182,246,1152
Milwaukee Bucks,11,2690,433,1006,0.43,124,362,0.343,309,644,0.48,169,217,0.779,115,375,490,226,77,49,154,235,1159
Sacramento Kings,10,2425,439,876,0.501,113,294,0.384,326,582,0.56,180,228,0.789,84,336,420,250,71,36,143,218,1171
Dallas Mavericks,11,2690,432,912,0.474,108,315,0.343,324,597,0.543,202,251,0.805,107,346,453,250,71,54,172,265,1174
Cleveland Cavaliers,11,2715,424,930,0.456,127,353,0.36,297,577,0.515,206,267,0.772,86,331,417,251,99,50,161,258,1181
Oklahoma City Thunder,11,2715,455,987,0.461,138,385,0.358,317,602,0.527,206,264,0.78,129,430,559,263,72,72,199,211,1254
Boston Celtics,11,2690,461,992,0.465,124,353,0.351,337,639,0.527,210,264,0.795,113,380,493,238,66,47,136,240,1256
Denver Nuggets,11,2640,470,976,0.482,137,388,0.353,333,588,0.566,181,242,0.748,102,354,456,292,93,50,162,221,1258
New York Knicks,11,2690,457,1042,0.439,159,454,0.35,298,588,0.507,189,251,0.753,137,385,522,297,84,58,148,230,1262
Los Angeles Lakers,11,2665,473,1014,0.466,133,383,0.347,340,631,0.539,198,259,0.764,121,417,538,292,97,65,156,229,1277
Portland Trail Blazers,12,2905,468,1045,0.448,146,410,0.356,322,635,0.507,197,253,0.779,129,364,493,313,104,57,175,270,1279
Toronto Raptors,12,2880,460,984,0.467,142,406,0.35,318,578,0.55,219,266,0.823,110,395,505,318,69,68,201,240,1281
Philadelphia 76ers,12,2880,467,995,0.469,125,390,0.321,342,605,0.565,225,277,0.812,112,411,523,287,78,61,175,242,1284
Los Angeles Clippers,12,2880,482,1080,0.446,146,428,0.341,336,652,0.515,174,231,0.753,130,404,534,284,97,49,167,223,1284
Indiana Pacers,11,2640,451,949,0.475,155,377,0.411,296,572,0.517,245,293,0.836,107,362,469,296,86,63,167,224,1302
Brooklyn Nets,12,2905,460,1047,0.439,161,426,0.378,299,621,0.481,230,303,0.759,143,399,542,276,86,53,185,245,1311
Miami Heat,12,2905,473,1001,0.473,172,454,0.379,301,547,0.55,195,256,0.762,106,412,518,301,75,57,205,260,1313
Golden State Warriors,11,2665,462,983,0.47,141,394,0.358,321,589,0.545,262,324,0.809,121,365,486,296,97,33,171,221,1327
Washington Wizards,12,2905,479,1055,0.454,156,408,0.382,323,647,0.499,213,268,0.795,111,399,510,279,89,47,148,232,1327
Atlanta Hawks,12,2905,488,1091,0.447,130,397,0.327,358,694,0.516,250,322,0.776,148,421,569,268,78,75,175,253,1356
New Orleans Pelicans,12,2955,503,1074,0.468,141,429,0.329,362,645,0.561,216,263,0.821,121,383,504,318,94,73,181,239,1363
Orlando Magic,12,2905,495,1076,0.46,168,466,0.361,327,610,0.536,206,280,0.736,114,363,477,297,98,49,157,261,1364
Memphis Grizzlies,12,2930,502,1089,0.461,154,444,0.347,348,645,0.54,225,292,0.771,148,380,528,310,79,62,176,260,1383
Minnesota Timberwolves,12,2905,500,1123,0.445,181,480,0.377,319,643,0.496,208,277,0.751,145,403,548,347,104,47,186,249,1389
Houston Rockets,12,2880,527,1065,0.495,154,421,0.366,373,644,0.579,205,277,0.74,138,392,530,322,110,88,187,273,1413
Detroit Pistons,12,2880,533,1099,0.485,145,416,0.349,388,683,0.568,209,266,0.786,146,429,575,308,83,95,161,265,1420
Chicago Bulls,13,3120,520,1117,0.466,152,415,0.366,368,702,0.524,235,298,0.789,122,434,556,346,93,91,214,255,1427
San Antonio Spurs,12,2905,562,1105,0.509,141,367,0.384,421,738,0.57,186,237,0.785,129,405,534,337,111,62,187,241,1451
Utah Jazz,13,3170,554,1186,0.467,128,396,0.323,426,790,0.539,229,307,0.746,165,417,582,266,96,60,205,272,1465
Charlotte Hornets,13,3195,538,1165,0.462,142,438,0.324,396,727,0.545,256,327,0.783,146,463,609,334,90,90,194,271,1474
