Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Utah Jazz,13,3170,564,1193,0.473,196,520,0.377,368,673,0.547,220,283,0.777,160,421,581,360,112,71,206,293,1544
Chicago Bulls,13,3120,522,1124,0.464,139,381,0.365,383,743,0.515,265,311,0.852,135,432,567,315,105,76,202,265,1448
Charlotte Hornets,13,3195,527,1196,0.441,143,430,0.333,384,766,0.501,210,296,0.709,162,435,597,336,96,74,197,277,1407
Memphis Grizzlies,12,2930,523,1112,0.47,160,414,0.386,363,698,0.52,195,274,0.712,160,410,570,292,78,63,179,251,1401
New Orleans Pelicans,12,2955,526,1099,0.479,124,333,0.372,402,766,0.525,219,287,0.763,149,404,553,319,98,49,176,238,1395
Atlanta Hawks,12,2905,535,1146,0.467,118,353,0.334,417,793,0.526,200,243,0.823,137,419,556,301,94,64,151,254,1388
Minnesota Timberwolves,12,2905,509,1071,0.475,135,415,0.325,374,656,0.57,215,279,0.771,128,417,545,316,89,68,198,257,1368
San Antonio Spurs,12,2905,508,1083,0.469,162,428,0.379,346,655,0.528,186,258,0.721,131,364,495,359,92,49,203,222,1364
Toronto Raptors,12,2880,491,1089,0.451,150,415,0.361,341,674,0.506,215,279,0.771,148,378,526,289,129,74,146,250,1347
Brooklyn Nets,12,2905,482,1012,0.476,138,387,0.357,344,625,0.55,226,279,0.81,108,381,489,307,95,94,165,272,1328
Houston Rockets,12,2880,468,1080,0.433,156,441,0.354,312,639,0.488,231,301,0.767,169,377,546,261,94,57,206,254,1323
Orlando Magic,12,2905,482,1006,0.479,115,351,0.328,367,655,0.56,242,311,0.778,116,432,548,253,73,69,201,271,1321
Portland Trail Blazers,12,2905,466,990,0.471,141,367,0.384,325,623,0.522,236,310,0.761,126,402,528,285,82,49,198,223,1309
Boston Celtics,11,2690,455,943,0.483,174,449,0.388,281,494,0.569,222,262,0.847,86,369,455,285,60,62,152,242,1306
Miami Heat,12,2905,461,1027,0.449,141,417,0.338,320,610,0.525,242,279,0.867,104,376,480,293,99,33,164,246,1305
Detroit Pistons,12,2880,452,1063,0.425,132,404,0.327,320,659,0.486,261,333,0.784,144,387,531,248,77,47,174,266,1297
Philadelphia 76ers,12,2880,458,995,0.46,155,410,0.378,303,585,0.518,222,276,0.804,95,381,476,281,97,57,161,237,1293
Indiana Pacers,11,2640,457,1004,0.455,167,446,0.374,290,558,0.52,209,261,0.801,124,367,491,312,74,73,179,245,1290
Golden State Warriors,11,2665,470,989,0.475,161,448,0.359,309,541,0.571,189,237,0.797,103,351,454,314,80,44,184,263,1290
Washington Wizards,12,2905,486,1030,0.472,110,350,0.314,376,680,0.553,208,260,0.8,112,422,534,283,67,70,168,240,1290
Denver Nuggets,11,2640,483,965,0.501,146,348,0.42,337,617,0.546,172,233,0.738,117,384,501,317,85,45,181,203,1284
Cleveland Cavaliers,11,2715,461,955,0.483,145,362,0.401,316,593,0.533,216,266,0.812,111,387,498,278,61,51,170,232,1283
Los Angeles Clippers,12,2880,473,991,0.477,130,387,0.336,343,604,0.568,180,244,0.738,83,425,508,258,91,67,188,245,1256
Phoenix Suns,11,2665,457,964,0.474,131,354,0.37,326,610,0.534,208,252,0.825,115,336,451,307,89,62,148,244,1253
Milwaukee Bucks,11,2690,454,1005,0.452,151,429,0.352,303,576,0.526,191,256,0.746,133,429,562,265,83,75,168,217,1250
New York Knicks,11,2690,458,1015,0.451,130,391,0.332,328,624,0.526,189,249,0.759,138,396,534,268,70,59,168,239,1235
Oklahoma City Thunder,11,2715,471,1066,0.442,120,393,0.305,351,673,0.522,167,221,0.756,139,365,504,262,100,70,137,237,1229
Dallas Mavericks,11,2690,423,910,0.465,146,417,0.35,277,493,0.562,217,295,0.736,91,340,431,212,98,41,149,224,1209
Los Angeles Lakers,11,2665,442,993,0.445,103,352,0.293,339,641,0.529,198,253,0.783,104,390,494,258,85,57,168,221,1185
Sacramento Kings,10,2425,410,860,0.477,144,390,0.369,266,470,0.566,195,253,0.771,72,326,398,270,67,35,143,221,1159
