Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,12,245,14,0.493,0.304,0.359,10.3,29,19.2,9.4,0.4,2.9,12.3,20.9,0,0.1,0.2,0.3,0.063,0,-2.1,-1.8,-3.9,-0.1,12,0,245,36,92,0.391,5,28,0.179,31,64,0.484,0.418,28,33,0.848,24,60,84,16,2,7,15,19,105
2,Steven Adams,C,29,MEM,14,365,16,0.564,0,0.463,20.5,24.2,22.4,12.8,1.3,4,28.4,12.8,0,0.3,0.5,0.8,0.105,0,-1.5,0.4,-1.1,0.1,14,14,365,41,67,0.612,0,0,0,41,67,0.612,0.612,9,31,0.29,70,83,153,36,10,16,32,40,91
3,Bam Adebayo,C,25,MIA,14,490,17.5,0.59,0.026,0.352,7.8,22.9,15.1,16.1,1.7,2.3,18.1,24.8,0,0.3,0.7,1,0.097,0,-1.1,0.7,-0.5,0.2,14,14,490,104,196,0.531,0,5,0,104,191,0.545,0.531,59,69,0.855,34,94,128,47,17,11,50,48,267
4,Ochai Agbaji,SG,22,UTA,6,67,6.6,0.453,0.316,0.368,6.5,9.8,8.1,2,0,0,0,13.7,0,0,0,0.1,0.038,0,-4.8,-3.6,-8.4,-0.1,6,0,67,8,19,0.421,0,6,0,8,13,0.615,0.421,4,7,0.571,4,6,10,1,0,0,0,6,20
5,Santi Aldama,PF,22,MEM,15,413,13.7,0.555,0.45,0.2,7,17.3,12.1,4.5,1.6,3.8,7.1,14.1,0,0.5,0.5,1,0.119,0,-1,0.8,-0.1,0.2,15,14,413,56,120,0.467,18,54,0.333,38,66,0.576,0.542,15,24,0.625,27,67,94,14,14,17,10,42,145
6,Nickeil Alexander-Walker,SG,24,UTA,9,70,9,0.445,0.481,0.185,0,9.3,4.7,19.1,3.4,3.5,14.6,20.3,0,-0.1,0.1,0,0.023,0,-5,1.1,-3.8,0,9,0,70,9,27,0.333,4,13,0.308,5,14,0.357,0.407,4,5,0.8,0,6,6,10,5,3,5,11,26
7,Grayson Allen,SG,27,MIL,12,305,12.6,0.616,0.635,0.353,3.1,7.6,5.4,13.9,1.6,0.8,16.2,15.9,0,0.4,0.4,0.8,0.133,0,-0.8,0.8,0,0.1,12,11,305,35,85,0.412,23,54,0.426,12,31,0.387,0.547,28,30,0.933,9,23,32,30,10,3,19,19,121
8,Jarrett Allen,C,24,CLE,12,390,18.3,0.595,0.016,0.315,12.6,28.7,20.7,5.4,0.6,3.6,10.7,17.6,0,0.7,0.6,1.4,0.17,0,0.6,0.4,1,0.3,12,12,390,69,124,0.556,0,2,0,69,122,0.566,0.556,30,39,0.769,42,96,138,14,5,15,17,27,168
9,Jose Alvarado,PG,24,NOP,14,266,13.7,0.584,0.533,0.098,2.1,10.2,6.1,21.7,2.2,1,15.8,18.2,0,0.3,0.3,0.6,0.102,0,-0.5,0.5,0,0.1,14,2,266,43,92,0.467,20,49,0.408,23,43,0.535,0.576,6,9,0.667,5,24,29,42,12,3,18,29,112
10,Kyle Anderson,PF,29,MIN,10,193,15.2,0.667,0.325,0.325,2.3,13.4,8.1,19.8,2,2.3,14.9,11.7,0,0.4,0.2,0.6,0.146,0,0.8,1.5,2.4,0.2,10,2,193,22,40,0.55,6,13,0.462,16,27,0.593,0.625,11,13,0.846,4,25,29,29,8,5,8,12,61
11,Giannis Antetokounmpo,PF,28,MIL,10,326,29.6,0.584,0.156,0.611,5.7,31,18.5,33.3,1.6,3.3,12.4,38.9,0,0.7,0.8,1.5,0.222,0,5.7,3.8,9.6,1,10,10,326,111,211,0.526,8,33,0.242,103,178,0.579,0.545,83,129,0.643,18,100,118,52,11,13,38,32,313
12,Thanasis Antetokounmpo,SF,30,MIL,7,19,1.9,0,0,0,5.4,21.3,13.4,6.4,0,4.3,50,4.4,0,0,0,0,0.008,0,-8.6,1.2,-7.5,0,7,0,19,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,5,1,0,1,1,2,0
13,Cole Anthony,PG,22,ORL,4,122,14.1,0.52,0.377,0.283,3,13.9,8.8,21.5,1.2,2.3,11.8,23.9,0,0.1,0.1,0.2,0.077,0,-0.2,0.1,0,0.1,4,3,122,22,53,0.415,7,20,0.35,15,33,0.455,0.481,11,15,0.733,3,16,19,17,3,3,8,14,62
14,OG Anunoby,SF,25,TOR,15,532,16,0.563,0.359,0.239,4.2,15.8,9.7,8,3.7,2.8,13.2,21.1,0,0.3,0.8,1.1,0.096,0,-0.8,1.1,0.3,0.3,15,15,532,96,209,0.459,27,75,0.36,69,134,0.515,0.524,41,50,0.82,21,71,92,28,40,15,35,50,260
15,Ryan Arcidiacono,PG,28,NYK,3,6,8.5,0,1,0,0,35.1,17.3,19.2,7.9,0,0,6.9,0,0,0,0,0.057,0,-10.4,11.8,1.3,0,3,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0
16,Deni Avdija,SF,22,WAS,14,315,8.8,0.491,0.409,0.25,3.2,17.7,10.7,11.8,1.4,2.2,14.8,16.1,0,-0.2,0.4,0.2,0.037,0,-4.4,0.7,-3.7,-0.1,14,11,315,34,88,0.386,11,36,0.306,23,52,0.442,0.449,17,22,0.773,9,52,61,27,9,8,17,41,96
17,Deandre Ayton,C,24,PHO,11,300,17.5,0.604,0.064,0.152,11.2,21.8,16.4,9.1,1.2,1.9,15.3,22.8,0,0.3,0.4,0.7,0.116,0,-0.1,-0.6,-0.7,0.1,11,11,300,72,125,0.576,3,8,0.375,69,117,0.59,0.588,14,19,0.737,30,55,85,17,7,6,24,37,161
